detectedActivity,geoHash,minuteOfDay,weekday,journey
4,1242481883,563,2,8112080000
4,1242481883,540,2,8112080000
7,1242483247,520,2,8112080000
6,1242481883,540,2,8112080000
7,1242481883,558,2,8112080000
3,1242481883,514,2,8112080000
4,1242483247,512,2,8112080000
4,1242481883,566,2,8112080000
5,1242483247,518,2,8112080000
5,1242481883,523,2,8112080000
3,1242481883,566,2,8112080000
2,1242481883,561,2,8112080000
3,1242483247,562,2,8112080000
6,1242481883,545,2,8112080000
6,1242481883,543,2,8112080000
1,1242481883,516,2,8112080000
2,1242481883,562,2,8112080000
4,1242483247,549,2,8112080000
4,1242483247,559,2,8112080000
4,1242481883,550,2,8112080000
2,1242481883,566,2,8112080000
4,1242481883,553,2,8112080000
0,1242481883,547,2,8112080000
6,1242483247,550,2,8112080000
5,1242481883,536,2,8112080000
0,1242481883,517,2,8112080000
6,1242483247,547,2,8112080000
7,1242481883,556,2,8112080000
2,1242481883,516,2,8112080000
0,1242483247,520,2,8112080000
7,1242481883,561,2,8112080000
5,1242483247,525,2,8112080000
7,1242483247,524,2,8112080000
0,1242481883,559,2,8112080000
3,1242481883,520,2,8112080000
2,1242481883,552,2,8112080000
6,1242481883,545,2,8112080000
0,1242483247,561,2,8112080000
0,1242483247,528,2,8112080000
4,1242481883,528,2,8112080000
2,1242481883,517,2,8112080000
0,1242483247,562,2,8112080000
7,1242481883,544,2,8112080000
5,1242481883,517,2,8112080000
5,1242481883,531,2,8112080000
5,1242481883,537,2,8112080000
2,1242481883,561,2,8112080000
2,1242481883,560,2,8112080000
3,1242481883,568,2,8112080000
0,1242481883,512,2,8112080000
2,1242481883,542,2,8112080000
7,1242483247,552,2,8112080000
4,1242481883,540,2,8112080000
0,1242481883,537,2,8112080000
4,1242481883,556,2,8112080000
5,1242481883,533,2,8112080000
0,1242483247,522,2,8112080000
6,1242483247,538,2,8112080000
3,1242481883,523,2,8112080000
2,1242481883,545,2,8112080000
3,1242481883,544,2,8112080000
0,1242481883,538,2,8112080000
2,1242481883,539,2,8112080000
5,1242481883,512,2,8112080000
7,1242483247,518,2,8112080000
1,1242483247,548,2,8112080000
1,1242483247,569,2,8112080000
2,1242481883,543,2,8112080000
7,1242481883,520,2,8112080000
6,1242481883,518,2,8112080000
4,1242483247,535,2,8112080000
6,1242481883,549,2,8112080000
5,1242481883,567,2,8112080000
3,1242483247,525,2,8112080000
2,1242483247,545,2,8112080000
7,1242481883,536,2,8112080000
0,1242481883,547,2,8112080000
1,1242483247,541,2,8112080000
4,1242481883,522,2,8112080000
0,1242481883,551,2,8112080000
2,1242481883,564,2,8112080000
3,1242481883,517,2,8112080000
5,1242481883,564,2,8112080000
1,1242483247,559,2,8112080000
2,1242481883,547,2,8112080000
7,1242481883,569,2,8112080000
1,1242481883,562,2,8112080000
6,1242481883,515,2,8112080000
3,1242481883,548,2,8112080000
2,1242481883,551,2,8112080000
5,1242481883,555,2,8112080000
4,1242483247,542,2,8112080000
7,1242483247,525,2,8112080000
4,1242483247,530,2,8112080000
0,1242481883,563,2,8112080000
4,1242481883,559,2,8112080000
4,1242481883,553,2,8112080000
1,1242481883,564,2,8112080000
4,1242481883,556,2,8112080000
6,1242481883,536,2,8112080000
6,1242213299,1004,2,8000081120
6,1242213299,1018,2,8000081120
5,1242213299,1024,2,8000081120
6,1242213299,1019,2,8000081120
3,1242213299,1037,2,8000081120
5,1242213299,1002,2,8000081120
6,1242213299,1046,2,8000081120
2,1242213299,998,2,8000081120
7,1242213299,1047,2,8000081120
3,1242213299,991,2,8000081120
2,1242213299,1011,2,8000081120
3,1242213299,999,2,8000081120
7,1242213299,1024,2,8000081120
2,1242213299,994,2,8000081120
5,1242213299,1018,2,8000081120
1,1242213299,1037,2,8000081120
4,1242213299,1036,2,8000081120
4,1242213299,1010,2,8000081120
4,1242213299,1037,2,8000081120
6,1242213175,1022,2,8000081120
6,1242213299,1045,2,8000081120
1,1242213175,1038,2,8000081120
0,1242213299,1038,2,8000081120
3,1242213299,1005,2,8000081120
2,1242213299,998,2,8000081120
7,1242213299,1016,2,8000081120
4,1242213299,1032,2,8000081120
7,1242213175,1024,2,8000081120
6,1242213299,1029,2,8000081120
5,1242213299,1040,2,8000081120
6,1242213299,1011,2,8000081120
5,1242213299,996,2,8000081120
2,1242213299,1038,2,8000081120
4,1242213299,1032,2,8000081120
6,1242213299,1035,2,8000081120
4,1242213299,1005,2,8000081120
4,1242213299,994,2,8000081120
3,1242213299,1019,2,8000081120
4,1242213299,1022,2,8000081120
6,1242213299,999,2,8000081120
4,1242213299,1010,2,8000081120
5,1242213299,1000,2,8000081120
7,1242213299,993,2,8000081120
6,1242213299,1001,2,8000081120
3,1242213299,995,2,8000081120
5,1242213299,1017,2,8000081120
7,1242213299,1009,2,8000081120
7,1242213299,1002,2,8000081120
6,1242213299,1028,2,8000081120
7,1242213299,1035,2,8000081120
7,1242213299,1005,2,8000081120
0,1242213299,1030,2,8000081120
5,1242213299,1034,2,8000081120
7,1242213299,1037,2,8000081120
6,1242213299,997,2,8000081120
6,1242213299,1032,2,8000081120
7,1242213299,1016,2,8000081120
1,1242213299,1009,2,8000081120
4,1242213299,1007,2,8000081120
4,1242213299,993,2,8000081120
